Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0427202649113654,-0.0447508147667135,0.0467045833806336,0,0,0,0.163939534292526,9.89390642109536E-05,6.3611040748146E-09,-2.83456140476016E-08,9.44064836417226E-05,-1.46743918085426E-07,0.000129911636750205,0,0,0,0,0,0,package://arm_robot_description/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_robot_description/meshes/base_link.STL,,BaseAssem1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulder_link,0.000963679642365663,0.0577904979483488,-9.50062831804183E-05,0,0,0,0.0937952908137171,2.94163203677392E-05,-4.78216785521403E-07,-9.68291794152728E-08,2.60092518486733E-05,-1.13045243628439E-08,3.10075174738564E-05,0,0,0,0,0,0,package://arm_robot_description/meshes/shoulder_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_robot_description/meshes/shoulder_link.STL,,TurntableAssem3-1,Origin_shoulder_joint,Axis1,shoulder_joint,revolute,0.042,-0.042,0.052082,1.5708,0,-3.1416,base_link,0,1,0,0,0,-3.1415,3.1415,,,,,,,,
upperarm_link,0.0393296521650432,-0.0955117843738581,3.5171956702662E-07,0,0,0,0.106266316809038,9.43010109053496E-05,-5.069300878039E-07,4.25324654345257E-11,2.01302460392975E-05,1.88515951791571E-13,9.21413861518418E-05,0,0,0,0,0,0,package://arm_robot_description/meshes/upperarm_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_robot_description/meshes/upperarm_link.STL,,UpperArmAssem4-1,Origin_upperarm_joint,Axis2,upperarm_joint,revolute,-0.036613,0.084019,0,3.1416,0,0,shoulder_link,1,0,0,0,0,-2.24,2.24,,,,,,,,
forearm_link,-0.00379914392129819,-0.0675895141224325,1.11022302462516E-16,0,0,0,0.0738289635729949,0.000101606244132764,2.11583914183042E-22,-1.86726194029619E-12,8.93040327450558E-06,-3.01427046942224E-19,9.41733072382026E-05,0,0,0,0,0,0,package://arm_robot_description/meshes/forearm_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://arm_robot_description/meshes/forearm_link.STL,,ForeArmAssem5-1/Dinamixel-1;ForeArmAssem5-1/Dinamixel-2;ForeArmAssem5-1/Pulley servo horn 1-1;ForeArmAssem5-1/Pulley servo horn 1-2;ForeArmAssem5-1/ForeArmThin-1;ForeArmAssem5-1/ForeArmThin-2;ForeArmAssem5-1/horn-1;ForeArmAssem5-1/horn-2,Origin_forearm_joint,Axis3,forearm_joint,revolute,0.035651,-0.14,0,3.1416,0,3.1416,upperarm_link,1,0,0,0,0,-1.95,1.95,,,,,,,,
wrist_link,-5.9548301278578E-05,0.0309219607518911,-3.52055394473028E-05,0,0,0,0.0312687952088218,2.36442877114977E-06,-2.65552878745857E-09,-2.24830540296741E-07,3.26245065540287E-06,4.49109404910189E-09,2.53633915404046E-06,0,0,0,0,0,0,package://arm_robot_description/meshes/wrist_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_robot_description/meshes/wrist_link.STL,,ForeArmAssem5-1/Pulley toGear-2;ForeArmAssem5-1/25x32x4mmBearing-2;ForeArmAssem5-1/MetalGear-2;ForeArmAssem5-1/Pulley toGear-1;ForeArmAssem5-1/25x32x4mmBearing-1;ForeArmAssem5-1/MetalGear-1;Retainer-1;8x22x7mmBearing-1;8x22x7mmBearing-2;ForeArmAssem5-1/GearSleve-1,Origin_wrist_joint,Axis4,wrist_joint,revolute,-0.035049,-0.145,0,0,-0.96942,-1.5708,forearm_link,0,-1,0,0,0,-1.6,1.6,,,,,,,,
frame_link,0.00423615580807838,0.00251757352994463,0.037073257530931,0,0,0,0.0971603253782602,3.61475773412502E-05,1.3650130640794E-05,7.26831148623548E-07,2.03809535466644E-05,4.18500158510254E-07,4.68109199288427E-05,0,0,0,0,0,0,package://arm_robot_description/meshes/frame_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_robot_description/meshes/frame_link.STL,,GripperAssem2-1/M8x40Bolt-1;GripperAssem2-1/MetalGear-1;GripperAssem2-1/Frame-1;GripperAssem2-1/Dinamixel-1;GripperAssem2-1/camera mount-1,Origin_frame_joint,Axis5,frame_joint,revolute,0.0036775,0.03125,-0.0053596,-2.8111,0.51206,-2.5307,wrist_link,0,0,1,0,0,-3.1415,3.1415,,,,,,,,
worm_link,0.000260518944933091,0.000117382605098179,0.00451004543272632,0,0,0,0.00449816970666781,4.14594786131159E-07,1.40083855679959E-10,-2.46228289212281E-10,4.1416094521697E-07,-1.00268234450091E-09,7.65193389522088E-07,0,0,0,0,0,0,package://arm_robot_description/meshes/worm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_robot_description/meshes/worm_link.STL,,GripperAssem2-1/Worm-1,Origin_worm_joint,Axis6,worm_joint,revolute,0.01299,0.0075,0.038,3.1416,0,-3.0183,frame_link,0,0,1,0,0,0,3.1415,,,,,,,,
camera_link,-5.1064E-05,0.021054,0.0043102,0,0,0,0.06,6.3369E-06,-1.7614E-10,-1.0223E-09,6.3143E-06,-2.0617E-09,1.1586E-05,0,0,0,0,0,0,package://arm_robot_description/meshes/camera_link.STL,1,1,1,1,0,0,0,0,0,0,package://arm_robot_description/meshes/camera_link.STL,,camera holder-1,Origin_camera_joint,,camera_joint,fixed,0.028329,0.016933,0.06075,0,0,-1.0472,frame_link,0,0,0,,,,,,,,,,,,
left_inner_link,0.00295374681981073,-0.00172924903482494,-0.0202562653029812,0,0,0,0.00921636410970939,3.15977166254403E-06,8.94327155107839E-11,-4.83078423739066E-07,3.37677241931955E-06,1.24222051728893E-10,3.4311273454431E-07,0,0,0,0,0,0,package://arm_robot_description/meshes/left_inner_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_robot_description/meshes/left_inner_link.STL,,GripperAssem2-1/DriveLink-1;GripperAssem2-1/Links-3,Origin_left_inner_joint,Axis7,left_inner_joint,revolute,0.02616,-0.025311,0.035,3.1416,0.37217,2.0944,frame_link,0,1,0,0,0,0,0.6,,,,,,,,
left_finger_link,0.00511565604680594,0.0100000000000003,-0.0244249931550103,0,0,0,0.0160596004014874,9.38451157380704E-06,-3.43741641172726E-21,1.54039618799638E-06,1.0073020861505E-05,8.98402572391069E-21,1.87995862434743E-06,0,0,0,0,0,0,package://arm_robot_description/meshes/left_finger_link.STL,1,1,1,1,0,0,0,0,0,0,package://arm_robot_description/meshes/left_finger_link.STL,,GripperAssem2-1/Fingers-1,Origin_left_finger_joint,Axis11,left_finger_joint,revolute,0,-0.02,-0.055,0,0.37217,0,left_inner_link,0,1,0,0,0,-0.6,0,,,,,,,,
right_inner_link,0.00295374681981056,0.0117276610278346,-0.0202562653029817,0,0,0,0.00921636410970938,3.15977166254403E-06,8.94327155090331E-11,-4.83078423739054E-07,3.37677241931954E-06,1.24222051731463E-10,3.43112734544309E-07,0,0,0,0,0,0,package://arm_robot_description/meshes/right_inner_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_robot_description/meshes/right_inner_link.STL,,GripperAssem2-1/DriveLink-2;GripperAssem2-1/Links-7,Origin_right_inner_joint,Axis8,right_inner_joint,revolute,-0.00017949,0.040311,0.035,3.1416,0.37217,-1.0472,frame_link,0,-1,0,0,0,-0.6,0,,,,,,,,
right_finger_link,0.00511565604680823,0.00999999999999974,-0.0244249931550099,0,0,0,0.0160596004014874,9.38451157380674E-06,-3.65454764450331E-21,1.54039618799715E-06,1.0073020861505E-05,7.47838052557991E-21,1.87995862434775E-06,0,0,0,0,0,0,package://arm_robot_description/meshes/right_finger_link.STL,1,1,1,1,0,0,0,0,0,0,package://arm_robot_description/meshes/right_finger_link.STL,,GripperAssem2-1/Fingers-2,Origin_right_finger_joint,Axis12,right_finger_joint,revolute,0,0.01,-0.055,0,0.37217,0,right_inner_link,0,1,0,0,0,-0.6,0,,,,,,,,
left_outer_link,1.11022302462516E-16,-0.00999999999999943,-0.0274999999999999,0,0,0,0.00450995574287564,1.25004679866384E-06,8.80640842801115E-24,-3.18299099710405E-21,1.26551475118266E-06,4.5157491829455E-22,3.42594347808008E-08,0,0,0,0,0,0,package://arm_robot_description/meshes/left_outer_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_robot_description/meshes/left_outer_link.STL,,GripperAssem2-1/Links-1;GripperAssem2-1/Links-4,Origin_left_outer_joint,Axis9,left_outer_joint,revolute,0.03116,-0.033971,0.035,3.1416,0.37217,2.0944,frame_link,0,1,0,0,0,0,0.6,,,,,,,,
right_outer_link,2.77555756156289E-17,0.015,-0.0275,0,0,0,0.00450995574287564,1.25004679866384E-06,-8.75366721974071E-24,-1.1059404789834E-21,1.26551475118266E-06,-5.0099741919037E-22,3.42594347808009E-08,0,0,0,0,0,0,package://arm_robot_description/meshes/right_outer_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_robot_description/meshes/right_outer_link.STL,,GripperAssem2-1/Links-5;GripperAssem2-1/Links-6,Origin_right_outer_joint,Axis10,right_outer_joint,revolute,-0.0095096,0.046471,0.035,3.1416,0.37217,-1.0472,frame_link,0,-1,0,0,0,-0.6,0,,,,,,,,
